lat,lon,filename,geometry,index_right
28.8855,76.9558,28.8855_76.9558.png,POINT (76.9558 28.8855),18
28.8855,77.541,28.8855_77.5410.png,POINT (77.541 28.8855),25
28.5355,76.9233,28.5355_76.9233.png,POINT (76.9233 28.5355),17
28.8178,77.491,28.8178_77.4910.png,POINT (77.491 28.8178),24
28.6854,77.0058,28.6854_77.0058.png,POINT (77.0058 28.6854),17
28.2943,77.041,28.2943_77.0410.png,POINT (77.041 28.2943),16
28.459,77.1943,28.4590_77.1943.png,POINT (77.1943 28.459),17
28.5267,77.0146,28.5267_77.0146.png,POINT (77.0146 28.5267),17
28.6854,77.4558,28.6854_77.4558.png,POINT (77.4558 28.6854),24
28.9678,77.6322,28.9678_77.6322.png,POINT (77.6322 28.9678),25
28.4266,76.8558,28.4266_76.8558.png,POINT (76.8558 28.4266),17
28.9354,77.4321,28.9354_77.4321.png,POINT (77.4321 28.9354),25
28.4266,76.9646,28.4266_76.9646.png,POINT (76.9646 28.4266),17
28.909,77.1733,28.9090_77.1733.png,POINT (77.1733 28.909),18
28.7767,76.9321,28.7767_76.9321.png,POINT (76.9321 28.7767),17
28.7591,77.1146,28.7591_77.1146.png,POINT (77.1146 28.7591),17
28.909,76.9409,28.9090_76.9409.png,POINT (76.9409 28.909),18
28.9766,76.9822,28.9766_76.9822.png,POINT (76.9822 28.9766),18
28.659,76.8646,28.6590_76.8646.png,POINT (76.8646 28.659),17
28.659,76.9558,28.6590_76.9558.png,POINT (76.9558 28.659),17
28.659,77.541,28.6590_77.5410.png,POINT (77.541 28.659),24
28.7178,77.2146,28.7178_77.2146.png,POINT (77.2146 28.7178),17
28.3266,77.4822,28.3266_77.4822.png,POINT (77.4822 28.3266),23
28.359,77.4409,28.3590_77.4409.png,POINT (77.4409 28.359),24
28.3767,77.5234,28.3767_77.5234.png,POINT (77.5234 28.3767),24
28.3679,77.391,28.3679_77.3910.png,POINT (77.391 28.3679),24
28.4057,77.491,28.4057_77.4910.png,POINT (77.491 28.4057),24
